Yaw,Pitch,Roll,UncompAccX,UncompAccY,UncompAccZ,UncompGyroX,UncompGyroY,UncompGyroZ,Temperature,Pressure,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatS,LinAccelX,LinAccelY,LinAccelZ,LinAccelN,LinAccelE,LinAccelD
+076.028,+000.471,-000.482,+00.0950,+00.0685,-09.7519,+00.009127,-00.008242,-00.039915,+024.80,+098.21,+0.095,-0.046,+0.037,+00.0950,+00.0685,-09.7519,+00.000220,-00.000951,-00.023139,-0.00584202,+0.000644812,+0.615854,+0.787838,+00.0146,-00.0138,+00.0412,+00.0167,+00.0112,+00.0412
+076.017,+000.470,-000.482,+00.0661,+00.0643,-09.7745,+00.009479,-00.007533,-00.042086,+024.79,+098.23,+0.094,-0.047,+0.040,+00.0661,+00.0643,-09.7745,+00.000571,-00.000242,-00.025310,-0.00584007,+0.000642241,+0.615782,+0.787894,-00.0093,-00.0175,+00.0183,+00.0147,-00.0131,+00.0185
+076.002,+000.469,-000.482,+00.0808,+00.0909,-09.7754,+00.009004,-00.008135,-00.043472,+024.79,+098.22,+0.093,-0.048,+0.039,+00.0808,+00.0909,-09.7754,+00.000096,-00.000844,-00.026696,-0.00583721,+0.000637743,+0.615679,+0.787976,+00.0006,+00.0084,+00.0177,-00.0082,+00.0028,+00.0176
+075.990,+000.469,-000.482,+00.0782,+00.0701,-09.8074,+00.009318,-00.006966,-00.044642,+024.79,+098.21,+0.095,-0.047,+0.037,+00.0782,+00.0701,-09.8074,+00.000411,+00.000325,-00.027866,-0.00583444,+0.000636982,+0.615595,+0.788041,-00.0269,-00.0107,+00.0054,+00.0038,-00.0287,+00.0057
+075.974,+000.469,-000.482,+00.0779,+00.0932,-09.7490,+00.008894,-00.007071,-00.045755,+024.80,+098.22,+0.095,-0.047,+0.038,+00.0779,+00.0932,-09.7490,-00.000013,+00.000220,-00.028980,-0.00583354,+0.000637658,+0.615484,+0.788128,-00.0023,+00.0109,+00.0441,-00.0114,+00.0008,+00.0440
+075.963,+000.470,-000.482,+00.0603,+00.1001,-09.7720,+00.009100,-00.006122,-00.041470,+024.80,+098.23,+0.094,-0.049,+0.037,+00.0603,+00.1001,-09.7720,+00.000193,+00.001169,-00.024694,-0.00583415,+0.000643949,+0.615407,+0.788188,-00.0019,-00.0007,+00.0168,+00.0001,-00.0018,+00.0169
+075.950,+000.469,-000.482,+00.0574,+00.0858,-09.7648,+00.009303,-00.007471,-00.038571,+024.80,+098.23,+0.094,-0.048,+0.037,+00.0574,+00.0858,-09.7648,+00.000396,-00.000180,-00.021795,-0.00583369,+0.000642486,+0.615319,+0.788257,-00.0228,+00.0034,+00.0283,-00.0091,-00.0210,+00.0284
+075.941,+000.470,-000.482,+00.1003,+00.0863,-09.7819,+00.008719,-00.006895,-00.039106,+024.80,+098.22,+0.094,-0.047,+0.038,+00.1003,+00.0863,-09.7819,-00.000188,+00.000396,-00.022330,-0.00583731,+0.000643121,+0.615255,+0.788306,+00.0001,+00.0117,+00.0242,-00.0115,+00.0032,+00.0241
+075.927,+000.470,-000.482,+00.0921,+00.0674,-09.7470,+00.009480,-00.007389,-00.042501,+024.80,+098.23,+0.094,-0.048,+0.037,+00.0921,+00.0674,-09.7470,+00.000573,-00.000098,-00.025725,-0.00583746,+0.00064466,+0.615159,+0.788381,+00.0118,-00.0150,+00.0461,+00.0171,+00.0083,+00.0461
+075.914,+000.469,-000.482,+00.1099,+00.0878,-09.7477,+00.008665,-00.008518,-00.045294,+024.80,+098.22,+0.094,-0.047,+0.038,+00.1099,+00.0878,-09.7477,-00.000243,-00.001227,-00.028518,-0.00583499,+0.000641582,+0.615076,+0.788446,+00.0200,+00.0065,+00.0582,-00.0018,+00.0216,+00.0580
+075.899,+000.469,-000.482,+00.0648,+00.1082,-09.7434,+00.009111,-00.006846,-00.041856,+024.80,+098.23,+0.094,-0.049,+0.037,+00.0648,+00.1082,-09.7434,+00.000203,+00.000445,-00.025081,-0.00583847,+0.000641636,+0.614973,+0.788527,-00.0154,+00.0258,+00.0496,-00.0291,-00.0082,+00.0495
+075.891,+000.469,-000.482,+00.0321,+00.0919,-09.7700,+00.009358,-00.007045,-00.035461,+024.79,+098.22,+0.094,-0.049,+0.038,+00.0321,+00.0919,-09.7700,+00.000451,+00.000246,-00.018685,-0.00583873,+0.000642294,+0.614912,+0.788574,-00.0215,+00.0005,+00.0305,-00.0060,-00.0204,+00.0307
+075.882,+000.469,-000.482,+00.0737,+00.0893,-09.7683,+00.009124,-00.007728,-00.030679,+024.78,+098.21,+0.095,-0.046,+0.040,+00.0737,+00.0893,-09.7683,+00.000216,-00.000437,-00.013903,-0.00583876,+0.000642174,+0.614852,+0.788621,-00.0065,+00.0068,+00.0247,-00.0084,-00.0044,+00.0247
+075.877,+000.469,-000.482,+00.0646,+00.0966,-09.7836,+00.008833,-00.006871,-00.026870,+024.80,+098.23,+0.094,-0.046,+0.039,+00.0646,+00.0966,-09.7836,-00.000075,+00.000420,-00.010094,-0.00583623,+0.00063824,+0.61482,+0.788646,-00.0345,+00.0149,+00.0083,-00.0230,-00.0297,+00.0084
+075.873,+000.469,-000.483,+00.0718,+00.0948,-09.7757,+00.009090,-00.006872,-00.024688,+024.80,+098.23,+0.094,-0.046,+0.038,+00.0718,+00.0948,-09.7757,+00.000183,+00.000419,-00.007913,-0.00583694,+0.000638455,+0.614788,+0.788671,-00.0083,+00.0123,+00.0173,-00.0140,-00.0049,+00.0173
+075.870,+000.469,-000.483,+00.0393,+00.0770,-09.7985,+00.008439,-00.006486,-00.023159,+024.80,+098.22,+0.094,-0.043,+0.039,+00.0393,+00.0770,-09.7985,-00.000469,+00.000805,-00.006384,-0.005839,+0.000639384,+0.61477,+0.788684,-00.0228,-00.0129,+00.0039,+00.0069,-00.0252,+00.0042
+075.867,+000.469,-000.483,+00.0376,+00.0807,-09.7547,+00.009547,-00.006504,-00.021942,+024.78,+098.22,+0.094,-0.047,+0.038,+00.0376,+00.0807,-09.7547,+00.000639,+00.000787,-00.005167,-0.00583983,+0.000641074,+0.614748,+0.788702,-00.0426,-00.0018,+00.0384,-00.0089,-00.0414,+00.0388
+075.865,+000.469,-000.483,+00.0975,+00.0879,-09.7832,+00.008785,-00.006984,-00.019884,+024.80,+098.22,+0.093,-0.047,+0.038,+00.0975,+00.0879,-09.7832,-00.000123,+00.000307,-00.003108,-0.00584261,+0.000640599,+0.614735,+0.788712,+00.0272,+00.0015,+00.0220,+00.0050,+00.0270,+00.0218
+075.862,+000.470,-000.483,+00.0969,+00.0774,-09.7516,+00.009058,-00.006456,-00.022056,+024.79,+098.22,+0.095,-0.047,+0.036,+00.0969,+00.0774,-09.7516,+00.000150,+00.000835,-00.005280,-0.00584327,+0.000642732,+0.614718,+0.788725,+00.0166,-00.0051,+00.0414,+00.0088,+00.0153,+00.0413
+075.860,+000.470,-000.483,+00.0945,+00.1077,-09.7689,+00.009133,-00.006481,-00.022382,+024.78,+098.22,+0.095,-0.046,+0.040,+00.0945,+00.1077,-09.7689,+00.000225,+00.000810,-00.005606,-0.00584432,+0.000645128,+0.614703,+0.788737,-00.0114,+00.0221,+00.0289,-00.0244,-00.0054,+00.0289
+075.857,+000.470,-000.483,+00.0671,+00.0928,-09.7614,+00.008956,-00.006806,-00.023761,+024.79,+098.21,+0.094,-0.046,+0.038,+00.0671,+00.0928,-09.7614,+00.000048,+00.000485,-00.006985,-0.00584372,+0.00064779,+0.614679,+0.788756,-00.0132,+00.0103,+00.0316,-00.0134,-00.0100,+00.0316
